Date created,Reporting period start date,Reporting period end data,County,Population density per square mile,Fiscal Year
8/27/2025,7/1/2021,6/30/2022,Anne Arundel,1437.3,FY2022
8/27/2025,7/1/2021,6/30/2022,Baltimore City,7123.2,FY2022
8/27/2025,7/1/2021,6/30/2022,Baltimore,1421.8,FY2022
8/27/2025,7/1/2021,6/30/2022,Calvert,442.2,FY2022
8/27/2025,7/1/2021,6/30/2022,Caroline,104.7,FY2022
8/27/2025,7/1/2021,6/30/2022,Carroll,389.4,FY2022
8/27/2025,7/1/2021,6/30/2022,Cecil,300.6,FY2022
8/27/2025,7/1/2021,6/30/2022,Charles,368.8,FY2022
8/27/2025,7/1/2021,6/30/2022,Dorchester,60.3,FY2022
8/27/2025,7/1/2021,6/30/2022,Frederick,425.1,FY2022
8/27/2025,7/1/2021,6/30/2022,Garrett,44.5,FY2022
8/27/2025,7/1/2021,6/30/2022,Harford,602.5,FY2022
8/27/2025,7/1/2021,6/30/2022,Howard,1337.5,FY2022
8/27/2025,7/1/2021,6/30/2022,Kent,69.5,FY2022
8/27/2025,7/1/2021,6/30/2022,Montgomery,2149.8,FY2022
8/27/2025,7/1/2021,6/30/2022,Prince George's,1981.8,FY2022
8/27/2025,7/1/2021,6/30/2022,Queen Anne's,136.9,FY2022
8/27/2025,7/1/2021,6/30/2022,St. Mary's,321.1,FY2022
8/27/2025,7/1/2021,6/30/2022,Somerset,76.8,FY2022
8/27/2025,7/1/2021,6/30/2022,Talbot,140.7,FY2022
8/27/2025,7/1/2021,6/30/2022,Washington,338.8,FY2022
8/27/2025,7/1/2021,6/30/2022,Wicomico,278,FY2022
8/27/2025,7/1/2021,6/30/2022,Worcester,114.1,FY2022
8/27/2025,7/1/2022,6/30/2023,Maryland,637.9,FY2023
8/27/2025,7/1/2022,6/30/2023,Allegany,158.5,FY2023
8/27/2025,7/1/2022,6/30/2023,Anne Arundel,1443.1,FY2023
8/27/2025,7/1/2022,6/30/2023,Baltimore City,7050.1,FY2023
8/27/2025,7/1/2022,6/30/2023,Baltimore,1418.8,FY2023
8/27/2025,7/1/2022,6/30/2023,Calvert,444.1,FY2023
8/27/2025,7/1/2022,6/30/2023,Caroline,105,FY2023
8/27/2025,7/1/2022,6/30/2023,Carroll,392.2,FY2023
8/27/2025,7/1/2022,6/30/2023,Cecil,303.1,FY2023
8/27/2025,7/1/2022,6/30/2023,Charles,372.2,FY2023
8/27/2025,7/1/2022,6/30/2023,Dorchester,60.3,FY2023
8/27/2025,7/1/2022,6/30/2023,Frederick,436.7,FY2023
8/27/2025,7/1/2022,6/30/2023,Garrett,44.2,FY2023
8/27/2025,7/1/2022,6/30/2023,Harford,603.8,FY2023
8/27/2025,7/1/2022,6/30/2023,Howard,1341.8,FY2023
8/27/2025,7/1/2022,6/30/2023,Kent,69.9,FY2023
